t,x0,x1
0.475,0.457339,0.889292
0.4775,0.459561,0.888146
0.48,0.46178,0.886995
0.4825,0.463996,0.885837
0.485,0.466209,0.884675
0.4875,0.468419,0.883506
0.49,0.470626,0.882333
0.4925,0.472831,0.881153
0.495,0.475032,0.879968
0.4975,0.477231,0.878778
0.5,0.479426,0.877582
0.5025,0.481618,0.876381
0.505,0.483808,0.875174
0.5075,0.485994,0.873962
0.51,0.488178,0.872744
0.5125,0.490358,0.871521
0.515,0.492535,0.870292
0.5175,0.49471,0.869058
0.52,0.496881,0.867819
0.5225,0.499049,0.866574
0.525,0.501213,0.865324
0.5275,0.503375,0.864068
0.53,0.505534,0.862807
0.5325,0.507689,0.86154
0.535,0.509842,0.860268
0.5375,0.511991,0.858991
0.54,0.514136,0.857708
0.5425,0.516279,0.85642
0.545,0.518419,0.855127
0.5475,0.520555,0.853828
0.55,0.522688,0.852524
0.5525,0.524817,0.851215
0.555,0.526944,0.8499
0.5575,0.529067,0.84858
0.56,0.531187,0.847255
0.5625,0.533303,0.845924
0.565,0.535416,0.844588
0.5675,0.537526,0.843247
0.57,0.539633,0.841901
0.5725,0.541736,0.840549
0.575,0.543835,0.839192
0.5775,0.545932,0.83783
0.58,0.548024,0.836462
0.5825,0.550114,0.83509
0.585,0.5522,0.833712
0.5875,0.554282,0.832329
0.59,0.556362,0.83094
0.5925,0.558437,0.829547
0.595,0.560509,0.828148
0.5975,0.562578,0.826744
0.6,0.564643,0.825335
0.6025,0.566705,0.823921
0.605,0.568763,0.822502
0.6075,0.570817,0.821077
0.61,0.572868,0.819648
0.6125,0.574915,0.818213
0.615,0.576959,0.816773
0.6175,0.578999,0.815328
0.62,0.581036,0.813878
0.6225,0.583069,0.812423
0.625,0.585098,0.810963
0.6275,0.587123,0.809497
0.63,0.589145,0.808027
0.6325,0.591164,0.806552
0.635,0.593178,0.805071
0.6375,0.595189,0.803586
0.64,0.597196,0.802095
0.6425,0.599199,0.8006
0.645,0.601199,0.799099
0.6475,0.603195,0.797594
0.65,0.605187,0.796083
0.6525,0.607175,0.794568
0.655,0.60916,0.793048
0.6575,0.611141,0.791522
0.66,0.613117,0.789992
0.6625,0.61509,0.788457
0.665,0.61706,0.786916
0.6675,0.619025,0.785371
0.67,0.620987,0.783821
0.6725,0.622944,0.782266
0.675,0.624898,0.780707
0.6775,0.626848,0.779142
0.68,0.628794,0.777572
0.6825,0.630736,0.775998
0.685,0.632674,0.774419
0.6875,0.634608,0.772834
0.69,0.636538,0.771246
0.6925,0.638464,0.769652
0.695,0.640386,0.768053
0.6975,0.642304,0.76645
0.7,0.644218,0.764842
0.7025,0.646128,0.763229
0.705,0.648034,0.761611
0.7075,0.649936,0.759989
0.71,0.651834,0.758361
0.7125,0.653728,0.756729
0.715,0.655618,0.755093
0.7175,0.657504,0.753451
0.72,0.659385,0.751805
0.7225,0.661263,0.750154
0.725,0.663136,0.748499
0.7275,0.665005,0.746839
0.73,0.66687,0.745174
0.7325,0.668731,0.743504
0.735,0.670588,0.74183
0.7375,0.67244,0.740151
0.74,0.674288,0.738468
0.7425,0.676133,0.73678
0.745,0.677972,0.735087
0.7475,0.679808,0.73339
0.75,0.681639,0.731688
0.7525,0.683466,0.729982
0.755,0.685289,0.728271
0.7575,0.687108,0.726556
0.76,0.688922,0.724835
0.7625,0.690732,0.723111
0.765,0.692538,0.721382
0.7675,0.694339,0.719648
0.77,0.696136,0.71791
0.7725,0.697928,0.716168
0.775,0.699717,0.71442
0.7775,0.701501,0.712669
0.78,0.70328,0.710913
0.7825,0.705055,0.709153
0.785,0.706826,0.707388
0.7875,0.708592,0.705618
0.79,0.710354,0.703845
0.7925,0.712111,0.702067
0.795,0.713864,0.700284
0.7975,0.715613,0.698497
0.8,0.717357,0.696706
0.8025,0.719096,0.694911
0.805,0.720831,0.693111
0.8075,0.722562,0.691306
0.81,0.724288,0.689498
0.8125,0.726009,0.687685
0.815,0.727726,0.685868
0.8175,0.729439,0.684046
0.82,0.731146,0.682221
0.8225,0.73285,0.680391
0.825,0.734548,0.678556
0.8275,0.736242,0.676718
0.83,0.737932,0.674875
0.8325,0.739617,0.673028
0.835,0.741297,0.671177
0.8375,0.742973,0.669322
0.84,0.744644,0.667462
0.8425,0.74631,0.665598
0.845,0.747972,0.663731
0.8475,0.749629,0.661859
0.85,0.751281,0.659982
0.8525,0.752929,0.658102
0.855,0.754572,0.656218
0.8575,0.75621,0.654329
0.86,0.757843,0.652437
0.8625,0.759472,0.65054
0.865,0.761096,0.648639
0.8675,0.762715,0.646735
0.87,0.76433,0.644826
0.8725,0.765939,0.642913
0.875,0.767544,0.640996
0.8775,0.769144,0.639075
0.88,0.770739,0.63715
0.8825,0.77233,0.635222
0.885,0.773916,0.633289
0.8875,0.775496,0.631352
0.89,0.777072,0.629411
0.8925,0.778643,0.627467
0.895,0.78021,0.625518
0.8975,0.781771,0.623566
0.9,0.783327,0.621609
0.9025,0.784879,0.619649
0.905,0.786426,0.617685
0.9075,0.787967,0.615717
0.91,0.789504,0.613745
0.9125,0.791036,0.611769
0.915,0.792563,0.60979
0.9175,0.794085,0.607807
0.92,0.795602,0.605819
0.9225,0.797114,0.603828
0.925,0.798621,0.601834
0.9275,0.800123,0.599835
0.93,0.801621,0.597833
0.9325,0.803113,0.595827
0.935,0.8046,0.593818
0.9375,0.806082,0.591804
0.94,0.807559,0.589787
0.9425,0.809031,0.587766
0.945,0.810498,0.585742
0.9475,0.811959,0.583714
0.95,0.813416,0.581682
0.9525,0.814868,0.579647
0.955,0.816314,0.577608
0.9575,0.817756,0.575565
0.96,0.819192,0.573519
0.9625,0.820623,0.571469
0.965,0.822049,0.569416
0.9675,0.82347,0.567359
0.97,0.824886,0.565299
0.9725,0.826297,0.563235
0.975,0.827702,0.561167
0.9775,0.829103,0.559096
0.98,0.830498,0.557022
0.9825,0.831888,0.554944
0.985,0.833273,0.552862
0.9875,0.834652,0.550777
0.99,0.836027,0.548689
0.9925,0.837396,0.546597
0.995,0.83876,0.544502
0.9975,0.840118,0.542403
